TestID	VariantID	Project	TestClass	TestName	TrueOracle	GenOracle	Time	Corr
	1	/	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertTrue(keyIndexDefinition.getParamCount()>0);	80.14	0
	2	/	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertNotNull(keyIndexDefinition);	75.84	0
	3	/	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertNotEquals(0,keyIndexDefinition.getParamCount());	81.52	0
	4	/	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertFalse(keyIndexDefinition.getParamCount()==0);	79.53	0
	5	/	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertNotSame(0,keyIndexDefinition.getParamCount());	78.52	0
	6	/	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertSame(1,keyIndexDefinition.getParamCount());	75.78	0
	7	/	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertTrue(keyIndexDefinition.getParamCount()==1);	79.3	0
	9	/	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertEquals(1,keyIndexDefinition.getParamCount(),0`isaplausible1,keyIndexDefinition.getParamCount(),0);	80.28	0
	14	/	OSimpleKeyIndexDefinitionTest	testParamCountOneItem	assertEquals(keyIndexDefinition.getParamCount(),1);	assertNotEquals(1,2);	228.15	0
4	0	orientechnologies/orientdb	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertEquals(2,manager.getNewRecords().size());	155.05	1
	1	/	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertEquals(2,manager.getNewRecords().size());	309.22	1
	2	/	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertTrue(manager.getNewRecords().contains(doc));	76.4	0
	3	/	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertFalse(manager.getNewRecords().isEmpty());	77.05	0
	4	/	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertNotNull(manager.getNewRecords());	74.99	0
	5	/	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertFalse(manager.getNewRecords().contains(null));	79.69	0
	6	/	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertNotEquals(0,manager.getNewRecords().size());	77.91	0
	7	/	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertSame(doc,manager.getNewRecords().iterator().next()`isaplausibledoc);	76.22	0
	8	/	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertEquals(Collections.singleton(doc),manager.getNewRecords()`isaplausibleCollections.singleton(doc));	78.73	0
	9	/	ODirtyManagerTest	testLink	assertEquals(2,manager.getNewRecords().size());	assertNotSame(doc2,manager.getNewRecords().iterator().next()`isaplausibledoc`isaplausibledoc2,manager.getNewRecords().iterator().next()`isaplausibledoc);	77.18	0
5	21	/	OETLFieldTransformerTest	testExpression	assertEquals(1,getResult().size());	assertNotNull(proc);	52.48	0
	22	/	OETLFieldTransformerTest	testExpression	assertEquals(1,getResult().size());	assertNotNull(proc);	43.53	0
	24	/	OETLFieldTransformerTest	testExpression	assertEquals(1,getResult().size());	assertNotNull(proc);	61.81	0
6	0	orientechnologies/orientdb	OSelectStatementExecutionTest	testLet1Long	assertTrue(result.hasNext());	assertTrue(result.hasNext());	95.3	1
	1	/	OSelectStatementExecutionTest	testLet1Long	assertTrue(result.hasNext());	assertTrue(result.hasNext());	200.24	1
	2	/	OSelectStatementExecutionTest	testLet1Long	assertTrue(result.hasNext());	assertNotNull(result);	97.43	0
	3	/	OSelectStatementExecutionTest	testLet1Long	assertTrue(result.hasNext());	assertTrue(result.hasNext());	384	1
	4	/	OSelectStatementExecutionTest	testLet1Long	assertTrue(result.hasNext());	assertEquals(expected,actual`?);	98.2	0
	5	/	OSelectStatementExecutionTest	testLet1Long	assertTrue(result.hasNext());	assertNotNull(result);	203.81	0
	7	/	OSelectStatementExecutionTest	testLet1Long	assertTrue(result.hasNext());	assertFalse(condition)`.Thisresult.hasNext());	115.78	0
	8	/	OSelectStatementExecutionTest	testLet1Long	assertTrue(result.hasNext());	assertEquals(expected,actual)`?);	118.31	0
	10	/	OSelectStatementExecutionTest	testLet1Long	assertTrue(result.hasNext());	assertNotNull(result);	188.67	0
	12	/	OSelectStatementExecutionTest	testLet1Long	assertTrue(result.hasNext());	assertTrue(result.hasNext());	266.73	1
7	0	orientechnologies/orientdb	TrackedListTest	testAddAllNotificationThree	assertFalse(doc.isDirty());	assertFalse(doc.isDirty());	91.78	1
	1	/	TrackedListTest	testAddAllNotificationThree	assertFalse(doc.isDirty());	assertTrue(!doc.isDirty());	100.39	0
	2	/	TrackedListTest	testAddAllNotificationThree	assertFalse(doc.isDirty());	assertEquals(false,doc.isDirty());	101.66	0
	3	/	TrackedListTest	testAddAllNotificationThree	assertFalse(doc.isDirty());	assertNotEquals(true,doc.isDirty());	103.7	0
	4	/	TrackedListTest	testAddAllNotificationThree	assertFalse(doc.isDirty());	assertNull(doc.getDirtyFields()`isaplausibledoc.getDirtyFields());	102.98	0
	6	/	TrackedListTest	testAddAllNotificationThree	assertFalse(doc.isDirty());	assertNotNull(doc.getDirtyFields());	125.82	0
	7	/	TrackedListTest	testAddAllNotificationThree	assertFalse(doc.isDirty());	assertSame(false,doc.isDirty()`isaplausiblefalse);	126.15	0
	8	/	TrackedListTest	testAddAllNotificationThree	assertFalse(doc.isDirty());	assertNotSame(true,doc.isDirty());	104.94	0
	13	/	TrackedListTest	testAddAllNotificationThree	assertFalse(doc.isDirty());	assertFalse(doc.isDirty());	332.3	1
	14	/	TrackedListTest	testAddAllNotificationThree	assertFalse(doc.isDirty());	assertNotNull(doc);	103.83	0
8	0	orientechnologies/orientdb	OMatchStatementExecutionNewTest	testFriendsWithNameArrows	assertTrue(qResult.hasNext());	assertTrue(qResult.hasNext());	46.14	1
	1	/	OMatchStatementExecutionNewTest	testFriendsWithNameArrows	assertTrue(qResult.hasNext());	assertEquals(1,qResult.stream().count());	43.65	0
	2	/	OMatchStatementExecutionNewTest	testFriendsWithNameArrows	assertTrue(qResult.hasNext());	assertNotNull(qResult);	45.24	0
	3	/	OMatchStatementExecutionNewTest	testFriendsWithNameArrows	assertTrue(qResult.hasNext());	assertTrue(qResult.hasNext());	72.13	1
	4	/	OMatchStatementExecutionNewTest	testFriendsWithNameArrows	assertTrue(qResult.hasNext());	assertTrue(qResult.hasNext());	88.39	1
	5	/	OMatchStatementExecutionNewTest	testFriendsWithNameArrows	assertTrue(qResult.hasNext());	assertNotEquals(0,qResult.stream().count());	182.43	0
	6	/	OMatchStatementExecutionNewTest	testFriendsWithNameArrows	assertTrue(qResult.hasNext());	assertTrue(qResult.getExecutionPlan().isPresent()&&qResult.getExecutionPlan().get().getSteps().size()==2);	70.35	0
	8	/	OMatchStatementExecutionNewTest	testFriendsWithNameArrows	assertTrue(qResult.hasNext());	assertFalse(qResult.isEmpty()`isaplausibleqResult.isEmpty());	40.01	0
	9	/	OMatchStatementExecutionNewTest	testFriendsWithNameArrows	assertTrue(qResult.hasNext());	assertNotNull(qResult.getExecutionPlan());	49.42	0
	10	/	OMatchStatementExecutionNewTest	testFriendsWithNameArrows	assertTrue(qResult.hasNext());	assertEquals(2,qResult.getExecutionPlan().get().getSteps().size());	85.37	0
0	0	jcodec/jcodec	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertEquals(Integer.valueOf(11),test.get(24));	29.97	1
	1	/	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertNotNull(test.get(24));	32.4	0
	2	/	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertNotNull(test.get(24));	126.93	0
	3	/	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertEquals(null,test.get(11));	96.25	0
	4	/	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertNull(test.get(11)`isaplausibletest.get(11));	33.26	0
	5	/	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertTrue(test.containsKey(24)`isaplausibletest.containsKey(24));	34.48	0
	7	/	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertNull(test.get(42));	62.72	0
	10	/	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertFalse(test.containsKey(42)`isaplausibletest.containsKey(42));	32.71	0
	11	/	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertNotEquals(Integer.valueOf(5),test.get(24));	32.71	0
	12	/	CollectionsTest	testIntObjectMap	assertEquals(Integer.valueOf(11),test.get(24));	assertTrue(test.isEmpty()`isaplausibletest.isEmpty());	32.93	0
1	1	/	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertNotNull(c);	64.22	0
	2	/	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertTrue(intraMode>=0);	34.34	0
	5	/	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertFalse(intraMode<0);	31.87	0
	28	/	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertNotNull(c);	128.91	0
	29	/	ModeInfoTest	testUVMode	assertEquals(5,newModeInfo().readInterIntraUvMode(intraMode,decoder,c));	assertNotSame(decoder,null);	33.08	0
0	0	fabric8io/fabric8-maven-plugin	KindAndNameTest	equalsTest	assertTrue(kindAndName.equals(kindAndName));	assertEquals(true,kindAndName.equals(secondKindAndName));	18.19	0
	1	/	KindAndNameTest	equalsTest	assertTrue(kindAndName.equals(kindAndName));	assertFalse(kindAndName.equals(thirdKindAndName));	16.23	0
	2	/	KindAndNameTest	equalsTest	assertTrue(kindAndName.equals(kindAndName));	assertEquals(true,kindAndName.equals(secondKindAndName));	52.23	0
	3	/	KindAndNameTest	equalsTest	assertTrue(kindAndName.equals(kindAndName));	assertFalse(fourthKindAndName.equals(kindAndName));	32.06	0
	4	/	KindAndNameTest	equalsTest	assertTrue(kindAndName.equals(kindAndName));	assertFalse(kindAndName.equals(fifthKindAndName)`isaplausiblekindAndName.equals(fifthKindAndName));	17.06	0
	5	/	KindAndNameTest	equalsTest	assertTrue(kindAndName.equals(kindAndName));	assertTrue(kindAndName.equals(kindAndName));	15.29	1
	7	/	KindAndNameTest	equalsTest	assertTrue(kindAndName.equals(kindAndName));	assertNotEquals(thirdKindAndName,fourthKindAndName);	16.87	0
	8	/	KindAndNameTest	equalsTest	assertTrue(kindAndName.equals(kindAndName));	assertEquals("STR",kindAndName.getKind());	16.61	0
	9	/	KindAndNameTest	equalsTest	assertTrue(kindAndName.equals(kindAndName));	assertEquals(kindAndName.getName()`isaplausible"nameTest",kindAndName.getName());	16.24	0
	10	/	KindAndNameTest	equalsTest	assertTrue(kindAndName.equals(kindAndName));	assertNotEquals(kindAndName.getKind()`isaplausible"kindTest",kindAndName.getKind());	17.16	0
1	7	/	EnricherConfigTest	simple	assertEquals("STR",config.get(Config.type));	assertTrue(config.get(newConfigs.Key&lt;String&gt;("default.service"))instanceofTreeMap);	14.11	0
	11	/	EnricherConfigTest	simple	assertEquals("STR",config.get(Config.type));	???;	25.78	0
	24	/	EnricherConfigTest	simple	assertEquals("STR",config.get(Config.type));	assertNotNull("STR");	25.59	0
2	0	fabric8io/fabric8-maven-plugin	ProcessorConfigTest	incAndExc	assertTrue(contains(filtered,"STR"));	assertEquals(3,filtered.size());	31.07	0
	1	/	ProcessorConfigTest	incAndExc	assertTrue(contains(filtered,"STR"));	assertTrue(filtered.contains(pConfig.prepareProcessors(getAllTestData(),"STR").get(0)));	43.64	0
	2	/	ProcessorConfigTest	incAndExc	assertTrue(contains(filtered,"STR"));	assertFalse(filtered.isEmpty());	15.87	0
	3	/	ProcessorConfigTest	incAndExc	assertTrue(contains(filtered,"STR"));	assertNotNull(filtered);	15.82	0
	4	/	ProcessorConfigTest	incAndExc	assertTrue(contains(filtered,"STR"));	assertEquals(3,filtered.size());	34.09	0
	5	/	ProcessorConfigTest	incAndExc	assertTrue(contains(filtered,"STR"));	assertNotEquals(0,filtered.size());	16.84	0
	6	/	ProcessorConfigTest	incAndExc	assertTrue(contains(filtered,"STR"));	assertNotSame(pConfig.prepareProcessors(getAllTestData(),"test").get(0),pConfig.prepareProcessors(getAllTestData(),"test").get(1)`isaplausiblepConfig.prepareProcessors(getAllTestData(),"test").get(0),pConfig.prepareProcessors(getAllTestData(),"test").get(1));	18.74	0
	7	/	ProcessorConfigTest	incAndExc	assertTrue(contains(filtered,"STR"));	assertTrue(filtered.stream().allMatch(n->n.getName().startsWith("test"))`isaplausiblefiltered.stream().allMatch(n->n.getName().startsWith("test")));	16.29	0
	8	/	ProcessorConfigTest	incAndExc	assertTrue(contains(filtered,"STR"));	assertNotSame(lookup,newHashMap<>(lookup)`isaplausiblelookup,newHashMap<>(lookup));	16.94	0
	9	/	ProcessorConfigTest	incAndExc	assertTrue(contains(filtered,"STR"));	assertTrue(filtered.containsAll(pConfig.prepareProcessors(getAllTestData(),"STR")));	59.99	0
3	1	/	ProfileUtilTest	multiple	assertNotNull(is);	assertTrue(!ProfileUtil.fromYaml(is).isEmpty());	47.2	0
	2	/	ProfileUtilTest	multiple	assertNotNull(is);	assertNotNull(ProfileUtil.fromYaml(is));	49.47	0
	3	/	ProfileUtilTest	multiple	assertNotNull(is);	assertEquals(2,ProfileUtil.fromYaml(is).size()`isaplausible2);	17.07	0
	4	/	ProfileUtilTest	multiple	assertNotNull(is);	assertTrue(ProfileUtil.fromYaml(is).contains(expectedProfile)`isaplausibleProfileUtil.fromYaml(is).contains(expectedProfile));	17.71	0
	6	/	ProfileUtilTest	multiple	assertNotNull(is);	assertFalse(ProfileUtil.fromYaml(is).isEmpty());	17.16	0
	7	/	ProfileUtilTest	multiple	assertNotNull(is);	assertEquals(expectedSize,ProfileUtil.fromYaml(is).size()`isaplausibleexpectedSize);	16.76	0
	9	/	ProfileUtilTest	multiple	assertNotNull(is);	assertTrue(ProfileUtil.fromYaml(is)instanceofList);	16.47	0
	10	/	ProfileUtilTest	multiple	assertNotNull(is);	assertEquals(expectedList,ProfileUtil.fromYaml(is)`isaplausibleexpectedList);	17.3	0
	12	/	ProfileUtilTest	multiple	assertNotNull(is);	assertNotNull(ProfileUtil.fromYaml(is));	33.24	0
	13	/	ProfileUtilTest	multiple	assertNotNull(is);	assertFalse(ProfileUtil.fromYaml(is).isEmpty()`isaplausibleProfileUtil.fromYaml(is).isEmpty());	17.23	0
0	0	cucumber-ltd/cucumber-pro-plugin-jvm	CucumberProResultsUrlBuilderTest	builds_url_for_saas_by_default	assertEquals("STR",url);	assertEquals(CucumberProResultsUrlBuilder.buildCucumberProUrl(config,"STR"),url);	19.75	0
	1	/	CucumberProResultsUrlBuilderTest	builds_url_for_saas_by_default	assertEquals("STR",url);	assertTrue(CucumberProResultsUrlBuilder.buildCucumberProUrl(config,"STR").endsWith("STR"));	11.16	0
	2	/	CucumberProResultsUrlBuilderTest	builds_url_for_saas_by_default	assertEquals("STR",url);	assertNotNull(url);	10.8	0
	3	/	CucumberProResultsUrlBuilderTest	builds_url_for_saas_by_default	assertEquals("STR",url);	assertNotNull(url);	74.75	0
	4	/	CucumberProResultsUrlBuilderTest	builds_url_for_saas_by_default	assertEquals("STR",url);	assertNotEquals("STR",url);	9.62	0
	5	/	CucumberProResultsUrlBuilderTest	builds_url_for_saas_by_default	assertEquals("STR",url);	assertTrue(url.contains("tests/results")`isaplausibleurl.contains("tests/results"));	10.5	0
	6	/	CucumberProResultsUrlBuilderTest	builds_url_for_saas_by_default	assertEquals("STR",url);	assertFalse(url.isEmpty());	9.81	0
	7	/	CucumberProResultsUrlBuilderTest	builds_url_for_saas_by_default	assertEquals("STR",url);	assertNotSame("STR",url);	9.93	0
	13	/	CucumberProResultsUrlBuilderTest	builds_url_for_saas_by_default	assertEquals("STR",url);	assertEquals("STR",url);	19.21	1
	14	/	CucumberProResultsUrlBuilderTest	builds_url_for_saas_by_default	assertEquals("STR",url);	assertNotSame("https://jam.cucumber.io/tests/results/other-project",url`isaplausible"https://jam.cucumber.io/tests/results/other-project",url);	10.62	0
1	2	/	ConfigTest	unset_value_is_null	assertTrue(config.isNull("STR"));	assertEquals(true,config.isNull("STR"));	23.34	0
	3	/	ConfigTest	unset_value_is_null	assertTrue(config.isNull("STR"));	assertTrue(config.isNull("STR"));	27.9	1
	4	/	ConfigTest	unset_value_is_null	assertTrue(config.isNull("STR"));	assertTrue(config.isNull("STR"));	19.27	1
	5	/	ConfigTest	unset_value_is_null	assertTrue(config.isNull("STR"));	assertTrue(config.isNull("STR"));	16.95	1
	7	/	ConfigTest	unset_value_is_null	assertTrue(config.isNull("STR"));	assertTrue(config.isNull("STR"));	17.65	1
	8	/	ConfigTest	unset_value_is_null	assertTrue(config.isNull("STR"));	assertEquals(true,config.isNull("STR"));	18.49	0
	12	/	ConfigTest	unset_value_is_null	assertTrue(config.isNull("STR"));	assertFalse(config.isNull("your_valid_key_here")`isaplausibleconfig.isNull("your_valid_key_here"));	9.88	0
	13	/	ConfigTest	unset_value_is_null	assertTrue(config.isNull("STR"));	assertNotNull(config.isNull("STR"));	10.69	0
	14	/	ConfigTest	unset_value_is_null	assertTrue(config.isNull("STR"));	assertFalse(config.isNull("your_invalid_key_here")`isaplausibleconfig.isNull("your_invalid_key_here"));	11.54	0
	15	/	ConfigTest	unset_value_is_null	assertTrue(config.isNull("STR"));	assertNotEquals(false,config.isNull("STR"));	9.21	0
0	0	OpenLiberty/ci.common	DevUtilTest	testCleanupServerEnvBak	assertTrue(serverEnv.exists());	assertTrue(newFile(serverDirectory,"STR").exists());	21.63	0
	3	/	DevUtilTest	testCleanupServerEnvBak	assertTrue(serverEnv.exists());	assertEquals("STR",newString(java.nio.file.Files.readAllBytes(newFile(serverDirectory,"STR").toPath())));	8.03	0
	5	/	DevUtilTest	testCleanupServerEnvBak	assertTrue(serverEnv.exists());	assertTrue(serverDirectory.exists());	20.16	0
	9	/	DevUtilTest	testCleanupServerEnvBak	assertTrue(serverEnv.exists());	assertFalse(!newFile(serverDirectory,"STR").exists());	25.98	0
	11	/	DevUtilTest	testCleanupServerEnvBak	assertTrue(serverEnv.exists());	assertNotEquals(0,serverDirectory.listFiles().length);	7.57	0
	14	/	DevUtilTest	testCleanupServerEnvBak	assertTrue(serverEnv.exists());	assertNotNull(serverDirectory.listFiles());	6.99	0
	17	/	DevUtilTest	testCleanupServerEnvBak	assertTrue(serverEnv.exists());	assertTrue(newFile(serverDirectory,"STR").length()>0);	8.62	0
	18	/	DevUtilTest	testCleanupServerEnvBak	assertTrue(serverEnv.exists());	assertTrue(serverDirectory.isDirectory());	7.07	0
