TestID	VariantID	Project	TestClass	TestName	TrueOracle	GenOracle	Corr	Sorted	Time
	3	/	OPropertyMapIndexDefinitionTest	testProcessChangeEventUpdateKey	assertTrue(keysToAdd.isEmpty());	assertNull(propertyIndexByValue);	0	1	35.52045798301697
	4	/	OPropertyMapIndexDefinitionTest	testProcessChangeEventUpdateKey	assertTrue(keysToAdd.isEmpty());	assertSame(propertyIndexByIntegerKey,propertyIndexByKey);	0	1	35.52045798301697
	5	/	OPropertyMapIndexDefinitionTest	testProcessChangeEventUpdateKey	assertTrue(keysToAdd.isEmpty());	assertNotSame(propertyIndexByKey,propertyIndexByValue);	0	1	35.52045798301697
	6	/	OPropertyMapIndexDefinitionTest	testProcessChangeEventUpdateKey	assertTrue(keysToAdd.isEmpty());	assertEquals(OMultiValueChangeEvent.OChangeType.UPDATE,changeEvent.getChangeType());	0	1	35.52045798301697
	7	/	OPropertyMapIndexDefinitionTest	testProcessChangeEventUpdateKey	assertTrue(keysToAdd.isEmpty());	assertNotNull(multiValueChangeEvent);	0	1	35.52045798301697
	8	/	OPropertyMapIndexDefinitionTest	testProcessChangeEventUpdateKey	assertTrue(keysToAdd.isEmpty());	assertNull(changeEvent.getKey());	0	1	35.52045798301697
	9	/	OPropertyMapIndexDefinitionTest	testProcessChangeEventUpdateKey	assertTrue(keysToAdd.isEmpty());	assertFalse(keysToAdd.isEmpty());	0	1	35.52045798301697
23	0	orientechnologies/orientdb	ODocumentSchemalessBinarySerializationTest	testArrayOfArray	assertEquals(extr.fields(),document.fields());	assertNotNull(serializer);	0	1	38.078490257263184
	1	/	ODocumentSchemalessBinarySerializationTest	testArrayOfArray	assertEquals(extr.fields(),document.fields());	assertNotNull(extr.getRecord());	0	1	38.078490257263184
	2	/	ODocumentSchemalessBinarySerializationTest	testArrayOfArray	assertEquals(extr.fields(),document.fields());	assertNotNull(extr.getAsDocument());	0	1	38.078490257263184
	3	/	ODocumentSchemalessBinarySerializationTest	testArrayOfArray	assertEquals(extr.fields(),document.fields());	assertNotEquals(null,serializer.toStream(newODocument(),true));	0	1	38.078490257263184
	4	/	ODocumentSchemalessBinarySerializationTest	testArrayOfArray	assertEquals(extr.fields(),document.fields());	assertNotEquals(null,serializer.fromStream(newbyte[]{},null,null));	0	1	38.078490257263184
	5	/	ODocumentSchemalessBinarySerializationTest	testArrayOfArray	assertEquals(extr.fields(),document.fields());	"assertArrayEquals(""STR"",""STR"");"	0	1	38.078490257263184
	6	/	ODocumentSchemalessBinarySerializationTest	testArrayOfArray	assertEquals(extr.fields(),document.fields());	assertFalse(extr.isDirty());	0	1	38.078490257263184
	7	/	ODocumentSchemalessBinarySerializationTest	testArrayOfArray	assertEquals(extr.fields(),document.fields());	assertFalse(extr.isDirty());	0	1	38.078490257263184
	8	/	ODocumentSchemalessBinarySerializationTest	testArrayOfArray	assertEquals(extr.fields(),document.fields());	assertTrue(extr.isEmbedded());	0	1	38.078490257263184
	9	/	ODocumentSchemalessBinarySerializationTest	testArrayOfArray	assertEquals(extr.fields(),document.fields());	assertTrue(serializerinstanceofORecordSerializer);	0	1	38.078490257263184
24	0	orientechnologies/orientdb	OSelectStatementExecutionTest	testNewRid	assertTrue(result.hasNext());	assertNotNull(result);	0	1	45.86978602409363
	1	/	OSelectStatementExecutionTest	testNewRid	assertTrue(result.hasNext());	assertTrue(result.hasNext());	1	1	45.86978602409363
	2	/	OSelectStatementExecutionTest	testNewRid	assertTrue(result.hasNext());	assertFalse(result.hasNext());	0	1	45.86978602409363
	3	/	OSelectStatementExecutionTest	testNewRid	assertTrue(result.hasNext());	"assertSame(result,""STR"");"	0	1	45.86978602409363
	4	/	OSelectStatementExecutionTest	testNewRid	assertTrue(result.hasNext());	assertEquals(1,result.stream().count());	0	1	45.86978602409363
	5	/	OSelectStatementExecutionTest	testNewRid	assertTrue(result.hasNext());	"assertArrayEquals(""STR"",""STR"");"	0	1	45.86978602409363
	6	/	OSelectStatementExecutionTest	testNewRid	assertTrue(result.hasNext());	"assertEquals(""STR"",""STR"");"	0	1	45.86978602409363
	7	/	OSelectStatementExecutionTest	testNewRid	assertTrue(result.hasNext());	assertNull(result.getExecutionPlan());	0	1	45.86978602409363
	8	/	OSelectStatementExecutionTest	testNewRid	assertTrue(result.hasNext());	assertThrows(NullPointerException.class,()->db.query(null));	0	1	45.86978602409363
	9	/	OSelectStatementExecutionTest	testNewRid	assertTrue(result.hasNext());	"assertThrows(OCommandSQLParsingException.class,""STR"");"	0	1	45.86978602409363
25	0	orientechnologies/orientdb	OCommandExecutorSQLSelectTest	testProjection2	assertEquals(qResult.size(),2);	assertNotNull(qResult);	0	1	22.00604486465454
	1	/	OCommandExecutorSQLSelectTest	testProjection2	assertEquals(qResult.size(),2);	assertEquals(26,qResult.size());	0	1	22.00604486465454
	2	/	OCommandExecutorSQLSelectTest	testProjection2	assertEquals(qResult.size(),2);	assertFalse(qResult.isEmpty());	0	1	22.00604486465454
	3	/	OCommandExecutorSQLSelectTest	testProjection2	assertEquals(qResult.size(),2);	assertSame(ODocument.class,qResult.get(0).getClass());	0	1	22.00604486465454
26	0	orientechnologies/orientdb	OrientJdbcResultSetTest	shouldReturnEmptyResultSet	assertThat(rs.next()).isFalse();	assertNotNull(rs);	0	1	89.7666380405426
	1	/	OrientJdbcResultSetTest	shouldReturnEmptyResultSet	assertThat(rs.next()).isFalse();	assertEquals(0,rs.getMetaData().getColumnCount());	0	1	89.7666380405426
	2	/	OrientJdbcResultSetTest	shouldReturnEmptyResultSet	assertThat(rs.next()).isFalse();	assertFalse(rs.next());	0	1	89.7666380405426
	3	/	OrientJdbcResultSetTest	shouldReturnEmptyResultSet	assertThat(rs.next()).isFalse();	"assertNull(""STR"");"	0	1	89.7666380405426
	4	/	OrientJdbcResultSetTest	shouldReturnEmptyResultSet	assertThat(rs.next()).isFalse();	assertNotEquals(0,rs.getFetchSize());	0	1	89.7666380405426
	5	/	OrientJdbcResultSetTest	shouldReturnEmptyResultSet	assertThat(rs.next()).isFalse();	assertEquals(0,rs.getRow());	0	1	89.7666380405426
	6	/	OrientJdbcResultSetTest	shouldReturnEmptyResultSet	assertThat(rs.next()).isFalse();	assertTrue(ds.getConnection().isValid(0));	0	1	89.7666380405426
	7	/	OrientJdbcResultSetTest	shouldReturnEmptyResultSet	assertThat(rs.next()).isFalse();	assertNotNull(ds.getConnection());	0	1	89.7666380405426
	8	/	OrientJdbcResultSetTest	shouldReturnEmptyResultSet	assertThat(rs.next()).isFalse();	assertNotEquals(0,ds.getLoginTimeout());	0	1	89.7666380405426
	9	/	OrientJdbcResultSetTest	shouldReturnEmptyResultSet	assertThat(rs.next()).isFalse();	assertTrue(ds.isWrapperFor(OrientDataSource.class));	0	1	89.7666380405426
27	0	orientechnologies/orientdb	OCompositeIndexDefinitionTest	testCreateValueSuccessful	"assertEquals(result,newOCompositeKey(Arrays.asList(12,""STR"")));"	assertNotNull(result);	0	1	58.39079308509827
	1	/	OCompositeIndexDefinitionTest	testCreateValueSuccessful	"assertEquals(result,newOCompositeKey(Arrays.asList(12,""STR"")));"	assertTrue(resultinstanceofOCompositeKey);	0	1	58.39079308509827
	2	/	OCompositeIndexDefinitionTest	testCreateValueSuccessful	"assertEquals(result,newOCompositeKey(Arrays.asList(12,""STR"")));"	assertEquals(2,((OCompositeKey)result).getKeys().size());	0	1	58.39079308509827
	3	/	OCompositeIndexDefinitionTest	testCreateValueSuccessful	"assertEquals(result,newOCompositeKey(Arrays.asList(12,""STR"")));"	assertFalse(((OCompositeKey)result).getKeys().isEmpty());	0	1	58.39079308509827
	4	/	OCompositeIndexDefinitionTest	testCreateValueSuccessful	"assertEquals(result,newOCompositeKey(Arrays.asList(12,""STR"")));"	assertTrue(((OCompositeKey)result).getKeys().get(0)instanceofInteger);	0	1	58.39079308509827
	5	/	OCompositeIndexDefinitionTest	testCreateValueSuccessful	"assertEquals(result,newOCompositeKey(Arrays.asList(12,""STR"")));"	assertTrue(((OCompositeKey)result).getKeys().get(1)instanceofString);	0	1	58.39079308509827
	6	/	OCompositeIndexDefinitionTest	testCreateValueSuccessful	"assertEquals(result,newOCompositeKey(Arrays.asList(12,""STR"")));"	"assertArrayEquals(newObject[]{12,""STR"");"	0	1	58.39079308509827
	7	/	OCompositeIndexDefinitionTest	testCreateValueSuccessful	"assertEquals(result,newOCompositeKey(Arrays.asList(12,""STR"")));"	assertTrue(((OCompositeKey)result).getComparator()instanceofODefaultComparator);	0	1	58.39079308509827
	8	/	OCompositeIndexDefinitionTest	testCreateValueSuccessful	"assertEquals(result,newOCompositeKey(Arrays.asList(12,""STR"")));"	assertNotEquals(12,((OCompositeKey)result).hashCode());	0	1	58.39079308509827
	9	/	OCompositeIndexDefinitionTest	testCreateValueSuccessful	"assertEquals(result,newOCompositeKey(Arrays.asList(12,""STR"")));"	assertEquals(OCompositeKey.class,((OCompositeKey)result).getClass());	0	1	58.39079308509827
28	0	orientechnologies/orientdb	OCompositeIndexDefinitionTest	testCreateValueDefinitionsMoreThanParams	"assertEquals(result,newOCompositeKey(Arrays.asList(12,""STR"")));"	assertNotNull(compositeIndex);	0	1	62.15559697151184
	1	/	OCompositeIndexDefinitionTest	testCreateValueDefinitionsMoreThanParams	"assertEquals(result,newOCompositeKey(Arrays.asList(12,""STR"")));"	assertEquals(2,compositeIndex.getFields().size());	0	1	62.15559697151184
	2	/	OCompositeIndexDefinitionTest	testCreateValueDefinitionsMoreThanParams	"assertEquals(result,newOCompositeKey(Arrays.asList(12,""STR"")));"	assertFalse(compositeIndex.isNull());	0	1	62.15559697151184
	3	/	OCompositeIndexDefinitionTest	testCreateValueDefinitionsMoreThanParams	"assertEquals(result,newOCompositeKey(Arrays.asList(12,""STR"")));"	assertEquals(2,compositeIndex.getDefinition().getFields().size());	0	1	62.15559697151184
	4	/	OCompositeIndexDefinitionTest	testCreateValueDefinitionsMoreThanParams	"assertEquals(result,newOCompositeKey(Arrays.asList(12,""STR"")));"	assertTrue(compositeIndex.getDefinition().getFields().getClass().isArray());	0	1	62.15559697151184
	5	/	OCompositeIndexDefinitionTest	testCreateValueDefinitionsMoreThanParams	"assertEquals(result,newOCompositeKey(Arrays.asList(12,""STR"")));"	"assertEquals(""STR"",compositeIndex.getFields().get(0));"	0	1	62.15559697151184
	6	/	OCompositeIndexDefinitionTest	testCreateValueDefinitionsMoreThanParams	"assertEquals(result,newOCompositeKey(Arrays.asList(12,""STR"")));"	assertTrue(compositeIndex.getFields().equals(compositeIndex.getFields()));	0	1	62.15559697151184
	7	/	OCompositeIndexDefinitionTest	testCreateValueDefinitionsMoreThanParams	"assertEquals(result,newOCompositeKey(Arrays.asList(12,""STR"")));"	assertNotEquals(compositeIndex.hashCode(),compositeIndex.clone().hashCode());	0	1	62.15559697151184
	8	/	OCompositeIndexDefinitionTest	testCreateValueDefinitionsMoreThanParams	"assertEquals(result,newOCompositeKey(Arrays.asList(12,""STR"")));"	assertNotEquals(0,compositeIndex.getFields().size());	0	1	62.15559697151184
	9	/	OCompositeIndexDefinitionTest	testCreateValueDefinitionsMoreThanParams	"assertEquals(result,newOCompositeKey(Arrays.asList(12,""STR"")));"	"assertArrayEquals(""STR"",compositeIndex.getFields().toArray());"	0	1	62.15559697151184
29	0	orientechnologies/orientdb	OCompositeIndexDefinitionTest	testDocumentToIndexRidBagValueSuccessfulThree	assertEquals(result,expectedResult);	assertNotNull(compositeIndex);	0	1	53.553367137908936
	1	/	OCompositeIndexDefinitionTest	testDocumentToIndexRidBagValueSuccessfulThree	assertEquals(result,expectedResult);	assertFalse(expectedResult.isEmpty());	0	1	53.553367137908936
	2	/	OCompositeIndexDefinitionTest	testDocumentToIndexRidBagValueSuccessfulThree	assertEquals(result,expectedResult);	assertFalse(result.isEmpty());	0	1	53.553367137908936
	3	/	OCompositeIndexDefinitionTest	testDocumentToIndexRidBagValueSuccessfulThree	assertEquals(result,expectedResult);	assertEquals(expectedResult.size(),result.size());	0	1	53.553367137908936
	4	/	OCompositeIndexDefinitionTest	testDocumentToIndexRidBagValueSuccessfulThree	assertEquals(result,expectedResult);	assertEquals(3,result.size());	0	1	53.553367137908936
	5	/	OCompositeIndexDefinitionTest	testDocumentToIndexRidBagValueSuccessfulThree	assertEquals(result,expectedResult);	assertEquals(expectedResult.get(0).getKeys().get(0),result.get(0).getKeys().get(0));	0	1	53.553367137908936
	6	/	OCompositeIndexDefinitionTest	testDocumentToIndexRidBagValueSuccessfulThree	assertEquals(result,expectedResult);	assertEquals(expectedResult.get(0).getKeys().get(1),result.get(0).getKeys().get(1));	0	1	53.553367137908936
	7	/	OCompositeIndexDefinitionTest	testDocumentToIndexRidBagValueSuccessfulThree	assertEquals(result,expectedResult);	assertEquals(expectedResult.get(0).getKeys().get(2),result.get(0).getKeys().get(2));	0	1	53.553367137908936
	8	/	OCompositeIndexDefinitionTest	testDocumentToIndexRidBagValueSuccessfulThree	assertEquals(result,expectedResult);	assertEquals(expectedResult.get(1).getKeys().get(0),result.get(1).getKeys().get(0));	0	1	53.553367137908936
	9	/	OCompositeIndexDefinitionTest	testDocumentToIndexRidBagValueSuccessfulThree	assertEquals(result,expectedResult);	assertEquals(expectedResult.get(1).getKeys().get(1),result.get(1).getKeys().get(1));	0	1	53.553367137908936
30	0	orientechnologies/orientdb	ODirtyManagerTest	testEmbeddedDocument	assertEquals(2,manager.getNewRecords().size());	assertTrue(doc.isEmbedded());	0	1	31.810429096221924
	1	/	ODirtyManagerTest	testEmbeddedDocument	assertEquals(2,manager.getNewRecords().size());	assertNotNull(doc);	0	1	31.810429096221924
	2	/	ODirtyManagerTest	testEmbeddedDocument	assertEquals(2,manager.getNewRecords().size());	assertEquals(1,manager.getNewRecords().size());	0	1	31.810429096221924
	3	/	ODirtyManagerTest	testEmbeddedDocument	assertEquals(2,manager.getNewRecords().size());	"assertSame(doc1,""STR"");"	0	1	31.810429096221924
	4	/	ODirtyManagerTest	testEmbeddedDocument	assertEquals(2,manager.getNewRecords().size());	"assertNull(""STR"");"	0	1	31.810429096221924
	5	/	ODirtyManagerTest	testEmbeddedDocument	assertEquals(2,manager.getNewRecords().size());	assertTrue(doc1.isEmbedded());	0	1	31.810429096221924
	6	/	ODirtyManagerTest	testEmbeddedDocument	assertEquals(2,manager.getNewRecords().size());	"assertSame(doc2,""STR"");"	0	1	31.810429096221924
	7	/	ODirtyManagerTest	testEmbeddedDocument	assertEquals(2,manager.getNewRecords().size());	assertEquals(0,manager.getCreatedRecords().size());	0	1	31.810429096221924
	8	/	ODirtyManagerTest	testEmbeddedDocument	assertEquals(2,manager.getNewRecords().size());	assertSame(doc1,manager.getRecord(doc1));	0	1	31.810429096221924
	9	/	ODirtyManagerTest	testEmbeddedDocument	assertEquals(2,manager.getNewRecords().size());	assertFalse(manager.isDirty(doc));	0	1	31.810429096221924
31	0	orientechnologies/orientdb	OCompositeKeyTest	testCompareToPartiallySecondCase	assertEquals(compositeKey.compareTo(anotherCompositeKey),0);	assertEquals(-1,compositeKey.compareTo(anotherCompositeKey));	0	1	93.51924896240234
	1	/	OCompositeKeyTest	testCompareToPartiallySecondCase	assertEquals(compositeKey.compareTo(anotherCompositeKey),0);	assertEquals(1,anotherCompositeKey.compareTo(compositeKey));	0	1	93.51924896240234
	2	/	OCompositeKeyTest	testCompareToPartiallySecondCase	assertEquals(compositeKey.compareTo(anotherCompositeKey),0);	assertEquals(0,compositeKey.compareTo(compositeKey));	0	1	93.51924896240234
	3	/	OCompositeKeyTest	testCompareToPartiallySecondCase	assertEquals(compositeKey.compareTo(anotherCompositeKey),0);	assertFalse(compositeKey.equals(null));	0	1	93.51924896240234
	4	/	OCompositeKeyTest	testCompareToPartiallySecondCase	assertEquals(compositeKey.compareTo(anotherCompositeKey),0);	assertTrue(compositeKey.equals(compositeKey));	0	1	93.51924896240234
	5	/	OCompositeKeyTest	testCompareToPartiallySecondCase	assertEquals(compositeKey.compareTo(anotherCompositeKey),0);	assertFalse(compositeKey.equals(anotherCompositeKey));	0	1	93.51924896240234
	6	/	OCompositeKeyTest	testCompareToPartiallySecondCase	assertEquals(compositeKey.compareTo(anotherCompositeKey),0);	assertTrue(anotherCompositeKey.equals(anotherCompositeKey));	0	1	93.51924896240234
	7	/	OCompositeKeyTest	testCompareToPartiallySecondCase	assertEquals(compositeKey.compareTo(anotherCompositeKey),0);	assertTrue(anotherCompositeKey.equals(compositeKey));	0	1	93.51924896240234
	8	/	OCompositeKeyTest	testCompareToPartiallySecondCase	assertEquals(compositeKey.compareTo(anotherCompositeKey),0);	assertNotNull(compositeKey);	0	1	93.51924896240234
	9	/	OCompositeKeyTest	testCompareToPartiallySecondCase	assertEquals(compositeKey.compareTo(anotherCompositeKey),0);	assertNotNull(anotherCompositeKey);	0	1	93.51924896240234
32	0	orientechnologies/orientdb	LuceneSpatialDistanceSphereTest	testWithinIndex	assertEquals(2,execute.size());	assertNotNull(context);	0	1	77.30211687088013
	1	/	LuceneSpatialDistanceSphereTest	testWithinIndex	assertEquals(2,execute.size());	"assertEquals(""STR"",type.name());"	0	1	77.30211687088013
	2	/	LuceneSpatialDistanceSphereTest	testWithinIndex	assertEquals(2,execute.size());	"assertFalse(""STR"");"	0	1	77.30211687088013
	3	/	LuceneSpatialDistanceSphereTest	testWithinIndex	assertEquals(2,execute.size());	assertTrue(context.exists(name.getMethodName()));	0	1	77.30211687088013
	4	/	LuceneSpatialDistanceSphereTest	testWithinIndex	assertEquals(2,execute.size());	"assertSame(db,""STR"");"	0	1	77.30211687088013
	5	/	LuceneSpatialDistanceSphereTest	testWithinIndex	assertEquals(2,execute.size());	assertFalse(execute.isEmpty());	0	1	77.30211687088013
	6	/	LuceneSpatialDistanceSphereTest	testWithinIndex	assertEquals(2,execute.size());	assertEquals(3,execute.size());	0	1	77.30211687088013
	7	/	LuceneSpatialDistanceSphereTest	testWithinIndex	assertEquals(2,execute.size());	"assertNotEquals(0,""STR"");"	0	1	77.30211687088013
	8	/	LuceneSpatialDistanceSphereTest	testWithinIndex	assertEquals(2,execute.size());	"assertFalse(""STR"");"	0	1	77.30211687088013
	9	/	LuceneSpatialDistanceSphereTest	testWithinIndex	assertEquals(2,execute.size());	"assertTrue(""STR"");"	0	1	77.30211687088013
33	0	orientechnologies/orientdb	OCreatePropertyStatementExecutionTest	testIfNotExists	assertEquals(nameProperty.getName(),PROP_NAME);	assertNotNull(nameProperty);	0	1	55.95959496498108
	1	/	OCreatePropertyStatementExecutionTest	testIfNotExists	assertEquals(nameProperty.getName(),PROP_NAME);	assertEquals(nameProperty.getName(),PROP_NAME);	1	1	55.95959496498108
	2	/	OCreatePropertyStatementExecutionTest	testIfNotExists	assertEquals(nameProperty.getName(),PROP_NAME);	assertThat(actual,equalTo(expected));	0	1	55.95959496498108
	3	/	OCreatePropertyStatementExecutionTest	testIfNotExists	assertEquals(nameProperty.getName(),PROP_NAME);	assertThat(actual,closeTo(expected,delta));	0	1	55.95959496498108
	4	/	OCreatePropertyStatementExecutionTest	testIfNotExists	assertEquals(nameProperty.getName(),PROP_NAME);	assertEquals(expected,actual);	0	1	55.95959496498108
	5	/	OCreatePropertyStatementExecutionTest	testIfNotExists	assertEquals(nameProperty.getName(),PROP_NAME);	assertTrue(db.exists());	0	1	55.95959496498108
	6	/	OCreatePropertyStatementExecutionTest	testIfNotExists	assertEquals(nameProperty.getName(),PROP_NAME);	assertNotNull(clazz);	0	1	55.95959496498108
	7	/	OCreatePropertyStatementExecutionTest	testIfNotExists	assertEquals(nameProperty.getName(),PROP_NAME);	"assertEquals(""STR"",clazz.getName());"	0	1	55.95959496498108
	8	/	OCreatePropertyStatementExecutionTest	testIfNotExists	assertEquals(nameProperty.getName(),PROP_NAME);	assertFalse(clazz.isAbstract());	0	1	55.95959496498108
	9	/	OCreatePropertyStatementExecutionTest	testIfNotExists	assertEquals(nameProperty.getName(),PROP_NAME);	"assertThat(actual,""STR"");"	0	1	55.95959496498108
34	0	orientechnologies/orientdb	DoubleSerializerTest	testNativeDirectMemoryCompatibility	assertEquals(doubleSerializer.deserializeFromByteBufferObject(buffer),OBJECT);	assertEquals(123.456,focal.deserializeFromByteBufferObject(buffer));	0	1	39.36443901062012
	1	/	DoubleSerializerTest	testNativeDirectMemoryCompatibility	assertEquals(doubleSerializer.deserializeFromByteBufferObject(buffer),OBJECT);	assertNotNull(buffer);	0	1	39.36443901062012
	2	/	DoubleSerializerTest	testNativeDirectMemoryCompatibility	assertEquals(doubleSerializer.deserializeFromByteBufferObject(buffer),OBJECT);	assertEquals(8,stream.length);	0	1	39.36443901062012
	3	/	DoubleSerializerTest	testNativeDirectMemoryCompatibility	assertEquals(doubleSerializer.deserializeFromByteBufferObject(buffer),OBJECT);	assertTrue(OBJECT.equals(OBJECT));	0	1	39.36443901062012
	4	/	DoubleSerializerTest	testNativeDirectMemoryCompatibility	assertEquals(doubleSerializer.deserializeFromByteBufferObject(buffer),OBJECT);	assertFalse(OBJECT.equals(null));	0	1	39.36443901062012
	5	/	DoubleSerializerTest	testNativeDirectMemoryCompatibility	assertEquals(doubleSerializer.deserializeFromByteBufferObject(buffer),OBJECT);	assertArrayEquals(stream,streamCopy);	0	1	39.36443901062012
	6	/	DoubleSerializerTest	testNativeDirectMemoryCompatibility	assertEquals(doubleSerializer.deserializeFromByteBufferObject(buffer),OBJECT);	assertTrue(buffer.isDirect());	0	1	39.36443901062012
	7	/	DoubleSerializerTest	testNativeDirectMemoryCompatibility	assertEquals(doubleSerializer.deserializeFromByteBufferObject(buffer),OBJECT);	assertTrue(doubleSerializerinstanceofODoubleSerializer);	0	1	39.36443901062012
	8	/	DoubleSerializerTest	testNativeDirectMemoryCompatibility	assertEquals(doubleSerializer.deserializeFromByteBufferObject(buffer),OBJECT);	assertNotEquals(0,Double.compare(focal.deserializeFromByteBufferObject(buffer),0.0));	0	1	39.36443901062012
	9	/	DoubleSerializerTest	testNativeDirectMemoryCompatibility	assertEquals(doubleSerializer.deserializeFromByteBufferObject(buffer),OBJECT);	assertThrows(BufferOverflowException.class,()->buffer.putInt(42));	0	1	39.36443901062012
35	0	orientechnologies/orientdb	LuceneSpatialDropTest	testDeleteLuceneIndex1	assertEquals(insertcount,result.size());	assertNotNull(dbPool);	0	1	32.34981107711792
	1	/	LuceneSpatialDropTest	testDeleteLuceneIndex1	assertEquals(insertcount,result.size());	assertNotNull(db);	0	1	32.34981107711792
	2	/	LuceneSpatialDropTest	testDeleteLuceneIndex1	assertEquals(insertcount,result.size());	"assertEquals(""STR"",dbName);"	0	1	32.34981107711792
	3	/	LuceneSpatialDropTest	testDeleteLuceneIndex1	assertEquals(insertcount,result.size());	assertTrue(db.getName().equals(dbName));	0	1	32.34981107711792
	4	/	LuceneSpatialDropTest	testDeleteLuceneIndex1	assertEquals(insertcount,result.size());	assertFalse(db.isClosed());	0	1	32.34981107711792
	5	/	LuceneSpatialDropTest	testDeleteLuceneIndex1	assertEquals(insertcount,result.size());	assertFalse(db.isClosed());	0	1	32.34981107711792
	6	/	LuceneSpatialDropTest	testDeleteLuceneIndex1	assertEquals(insertcount,result.size());	assertTrue(dbPool.getAvailableInstances()>=1);	0	1	32.34981107711792
	7	/	LuceneSpatialDropTest	testDeleteLuceneIndex1	assertEquals(insertcount,result.size());	assertTrue(dbPool.acquire()instanceofODatabaseDocumentTx);	0	1	32.34981107711792
	8	/	LuceneSpatialDropTest	testDeleteLuceneIndex1	assertEquals(insertcount,result.size());	assertTrue(dbPool.isAutoCreate());	0	1	32.34981107711792
	9	/	LuceneSpatialDropTest	testDeleteLuceneIndex1	assertEquals(insertcount,result.size());	assertFalse(db.isClosed());	0	1	32.34981107711792
36	0	orientechnologies/orientdb	LuceneMiscTest	testUnderscoreField	assertEquals(results.size(),1);	assertEquals(results.size(),1);	1	1	89.31050610542297
	1	/	LuceneMiscTest	testUnderscoreField	assertEquals(results.size(),1);	assertNotNull(db);	0	1	89.31050610542297
	2	/	LuceneMiscTest	testUnderscoreField	assertEquals(results.size(),1);	assertTrue(context.exists(name.getMethodName()));	0	1	89.31050610542297
	3	/	LuceneMiscTest	testUnderscoreField	assertEquals(results.size(),1);	assertFalse(db.isClosed());	0	1	89.31050610542297
	4	/	LuceneMiscTest	testUnderscoreField	assertEquals(results.size(),1);	assertFalse(results.isEmpty());	0	1	89.31050610542297
	5	/	LuceneMiscTest	testUnderscoreField	assertEquals(results.size(),1);	assertEquals(8,db.getClusters());	0	1	89.31050610542297
	6	/	LuceneMiscTest	testUnderscoreField	assertEquals(results.size(),1);	assertNotNull(query);	0	1	89.31050610542297
	7	/	LuceneMiscTest	testUnderscoreField	assertEquals(results.size(),1);	assertNotNull(params);	0	1	89.31050610542297
	8	/	LuceneMiscTest	testUnderscoreField	assertEquals(results.size(),1);	assertNotNull(db.getMetadata());	0	1	89.31050610542297
	9	/	LuceneMiscTest	testUnderscoreField	assertEquals(results.size(),1);	assertTrue(db.exists(name.getMethodName()));	0	1	89.31050610542297
37	0	adlnet/jxapi	AboutTest	testSetVersion	assertNotNull(version);	assertNotNull(version);	1	1	65.77685189247131
	1	/	AboutTest	testSetVersion	assertNotNull(version);	assertEquals(version.size(),1);	0	1	65.77685189247131
	2	/	AboutTest	testSetVersion	assertNotNull(version);	assertArrayEquals(versionInput.toArray(),about.getVersion().toArray());	0	1	65.77685189247131
	3	/	AboutTest	testSetVersion	assertNotNull(version);	"assertNotEquals(version.get(0),""STR"");"	0	1	65.77685189247131
	4	/	AboutTest	testSetVersion	assertNotNull(version);	"assertThrows(UnsupportedOperationException.class,""STR"");"	0	1	65.77685189247131
