TestID	OracleID	Project	ClassName	TestName	TrueOracle	GenOracle	Time	Correct
	19	adlnet/jxapi	PersonTest	testSetName	assertArrayEquals(expected,actual);	assertArrayEquals(expected, person.getName());	30.87379217	0
	20	adlnet/jxapi	PersonTest	testSetName	assertArrayEquals(expected,actual);	assertTrue(Arrays.equals(expected, person.getName()));	21.79537892	0
	23	adlnet/jxapi	PersonTest	testSetName	assertArrayEquals(expected,actual);	assertArrayEquals(expected, actual);	21.51837182	0
	26	adlnet/jxapi	PersonTest	testSetName	assertArrayEquals(expected,actual);	assertNotNull(actual);	18.83957982	0
	27	adlnet/jxapi	PersonTest	testSetName	assertArrayEquals(expected,actual);	assertEquals(expected, actual);	19.76105809	0
5	0	adlnet/jxapi	AboutTest	testGetVersion	assertNotNull(version);	assertEquals(expected, version.get(0));	19.47725272	0
	1	adlnet/jxapi	AboutTest	testGetVersion	assertNotNull(version);	assert.isTrue(state_error_codness.newCode(()=>IMap.CEP,Event.Int.(size();	88.13795519	0
	5	adlnet/jxapi	AboutTest	testGetVersion	assertNotNull(version);	assertFalse(version.isEmpty());	21.97235513	0
	6	adlnet/jxapi	AboutTest	testGetVersion	assertNotNull(version);	assertNotNull(version);	20.34677196	1
	7	adlnet/jxapi	AboutTest	testGetVersion	assertNotNull(version);	assertNotSame(expected, version);	35.43133783	0
	10	adlnet/jxapi	AboutTest	testGetVersion	assertNotNull(version);	assertTrue(version.contains(expected));	24.91802406	0
	11	adlnet/jxapi	AboutTest	testGetVersion	assertNotNull(version);	assertSame(expected, version.get(0));	19.8783071	0
	14	adlnet/jxapi	AboutTest	testGetVersion	assertNotNull(version);	assertSame(version, about.getVersion());	21.90764594	0
	15	adlnet/jxapi	AboutTest	testGetVersion	assertNotNull(version);	assertNotSame(version, about.getVersion());	18.08425403	0
	21	adlnet/jxapi	AboutTest	testGetVersion	assertNotNull(version);	assertEquals("STR", version.get(0));	16.35600209	0
6	0	hazelcast/hazelcast-simulator	AnnotationFilterTest	testLocalTeardownFilter	assertEquals("STR",method.getName());	assertEquals(null, method);	39.05962801	0
	1	hazelcast/hazelcast-simulator	AnnotationFilterTest	testLocalTeardownFilter	assertEquals("STR",method.getName());	assertNotNull(method);	32.06174088	0
	2	hazelcast/hazelcast-simulator	AnnotationFilterTest	testLocalTeardownFilter	assertEquals("STR",method.getName());	assertTrue(!methods.isEmpty());	21.53285623	0
	3	hazelcast/hazelcast-simulator	AnnotationFilterTest	testLocalTeardownFilter	assertEquals("STR",method.getName());	assertFalse(methods.isEmpty());	43.34188795	0
	4	hazelcast/hazelcast-simulator	AnnotationFilterTest	testLocalTeardownFilter	assertEquals("STR",method.getName());	assertSame(methods.get(0), method);	26.00207806	0
	5	hazelcast/hazelcast-simulator	AnnotationFilterTest	testLocalTeardownFilter	assertEquals("STR",method.getName());	assertEquals(1, methods.size());	29.04100299	0
	6	hazelcast/hazelcast-simulator	AnnotationFilterTest	testLocalTeardownFilter	assertEquals("STR",method.getName());	assertNotNull(method);	37.73496294	0
	7	hazelcast/hazelcast-simulator	AnnotationFilterTest	testLocalTeardownFilter	assertEquals("STR",method.getName());	assertTrue(methods.size() <= 1);	123.5144708	0
	8	hazelcast/hazelcast-simulator	AnnotationFilterTest	testLocalTeardownFilter	assertEquals("STR",method.getName());	assertFalse(methods.size() > 1);	29.45223093	0
	9	hazelcast/hazelcast-simulator	AnnotationFilterTest	testLocalTeardownFilter	assertEquals("STR",method.getName());	assertEquals();	33.69296503	0
7	0	hazelcast/hazelcast-simulator	MetronomeSupplierTest	withCustomMetronome	assertEquals(BusySpinningMetronome.class,m.getClass());	assertEquals(EmptyMetronome.INSTANCE, propertyBinding.agentSetting.setDefault(TestElementProps.MAINTENANCE_MILLISECONDS_PER_MINUTE, "10MC").withVars("interval", "10ns").createMetronomeSync());	36.22487617	0
	1	hazelcast/hazelcast-simulator	MetronomeSupplierTest	withCustomMetronome	assertEquals(BusySpinningMetronome.class,m.getClass());	assertThrows(RuntimeException.class, () -> file:///Users/adminuser/Documents/Implementation/src/filename.java.(clazzGeneratedFromSetupPackage).newInstance(clazz);	37.47717404	0
	2	hazelcast/hazelcast-simulator	MetronomeSupplierTest	withCustomMetronome	assertEquals(BusySpinningMetronome.class,m.getClass());	assertFalse(new PropertyBinding(new TestCase("foo"), EmptyMetronome.INSTANCE).isDoubleConversionRequired());	25.8835299	0
	3	hazelcast/hazelcast-simulator	MetronomeSupplierTest	withCustomMetronome	assertEquals(BusySpinningMetronome.class,m.getClass());	assertEquals(metronomeClass.getDeclaredConstructor().newInstance(), propertyBinding.agentSetting.setDefault(TestElementProps.MAINTENANCE_MILLISECONDS_PER_MINUTE, "10MC").withVars("interval", "10ns").createMetronomeSync());	21.96515989	0
	4	hazelcast/hazelcast-simulator	MetronomeSupplierTest	withCustomMetronome	assertEquals(BusySpinningMetronome.class,m.getClass());	assertBeforeWaitNeverCalled());	56.29545617	0
	5	hazelcast/hazelcast-simulator	MetronomeSupplierTest	withCustomMetronome	assertEquals(BusySpinningMetronome.class,m.getClass());	assertTrue(Mirror.getOrCreateInstance(ExecutorServiceConfigBean.class).getMaxPoolSize() > 1);	23.1285851	0
	6	hazelcast/hazelcast-simulator	MetronomeSupplierTest	withCustomMetronome	assertEquals(BusySpinningMetronome.class,m.getClass());	assertTrue(threadPoolExecutor.getPoolSize() <= 1);	38.24504018	0
	7	hazelcast/hazelcast-simulator	MetronomeSupplierTest	withCustomMetronome	assertEquals(BusySpinningMetronome.class,m.getClass());	assertEquals(EmptyMetronome.INSTANCE, new PropertyBinding();	39.05641913	0
	8	hazelcast/hazelcast-simulator	MetronomeSupplierTest	withCustomMetronome	assertEquals(BusySpinningMetronome.class,m.getClass());	assertEquals(client, new PropertyBinding(null, client, new ScheduledThreadPoolExecutor(1)).getClient());	21.950176	0
	9	hazelcast/hazelcast-simulator	MetronomeSupplierTest	withCustomMetronome	assertEquals(BusySpinningMetronome.class,m.getClass());	assertEquals(LePassioAbsoluteForgeSchpelicGlobal.F)eventTypeHitFail);	149.4094846	0
8	0	hazelcast/hazelcast-simulator	BuildInfoUtilsTest	testGetHazelcastVersionFromJarOrNull_whenInvalidPath_thenReturnNull	assertNull(getHazelcastVersionFromJarOrNull(file.getAbsolutePath()));	assertNull(getHazelcastVersionFromJarOrNull(file.getAbsolutePath()));	12.62319589	1
	1	hazelcast/hazelcast-simulator	BuildInfoUtilsTest	testGetHazelcastVersionFromJarOrNull_whenInvalidPath_thenReturnNull	assertNull(getHazelcastVersionFromJarOrNull(file.getAbsolutePath()));	assertNotNull(getHazelcastVersionFromJarOrNull(file.getAbsolutePath()));	10.96381688	0
	2	hazelcast/hazelcast-simulator	BuildInfoUtilsTest	testGetHazelcastVersionFromJarOrNull_whenInvalidPath_thenReturnNull	assertNull(getHazelcastVersionFromJarOrNull(file.getAbsolutePath()));	assertEquals(expectedVersion, getHazelcastVersionFromJarOrNull(classPath));	15.83080125	0
	3	hazelcast/hazelcast-simulator	BuildInfoUtilsTest	testGetHazelcastVersionFromJarOrNull_whenInvalidPath_thenReturnNull	assertNull(getHazelcastVersionFromJarOrNull(file.getAbsolutePath()));	assertTrue(getHazelcastVersionFromJarOrNull(file.getAbsolutePath()) == null);	12.22876215	0
	4	hazelcast/hazelcast-simulator	BuildInfoUtilsTest	testGetHazelcastVersionFromJarOrNull_whenInvalidPath_thenReturnNull	assertNull(getHazelcastVersionFromJarOrNull(file.getAbsolutePath()));	assertFalse(getHazelcastVersionFromJarOrNull(file.getAbsolutePath()) != null);	12.75124192	0
	5	hazelcast/hazelcast-simulator	BuildInfoUtilsTest	testGetHazelcastVersionFromJarOrNull_whenInvalidPath_thenReturnNull	assertNull(getHazelcastVersionFromJarOrNull(file.getAbsolutePath()));	assertEquals(expectedVersion, BuildInfoUtils.getHazelcastVersionFromJarOrNull(classPath));	42.60902095	0
	8	hazelcast/hazelcast-simulator	BuildInfoUtilsTest	testGetHazelcastVersionFromJarOrNull_whenInvalidPath_thenReturnNull	assertNull(getHazelcastVersionFromJarOrNull(file.getAbsolutePath()));	assertNotSame(expectedVersion, );	40.55089688	0
	10	hazelcast/hazelcast-simulator	BuildInfoUtilsTest	testGetHazelcastVersionFromJarOrNull_whenInvalidPath_thenReturnNull	assertNull(getHazelcastVersionFromJarOrNull(file.getAbsolutePath()));	assertThrows(UncheckedIOException.class, () -> BuildInfoUtils.getHazelcastVersionFromJarOrNull(file.getAbsolutePath()));	12.95288706	0
	11	hazelcast/hazelcast-simulator	BuildInfoUtilsTest	testGetHazelcastVersionFromJarOrNull_whenInvalidPath_thenReturnNull	assertNull(getHazelcastVersionFromJarOrNull(file.getAbsolutePath()));	assertSame(null, getHazelcastVersionFromJarOrNull(file.getAbsolutePath()));	11.38740778	0
	13	hazelcast/hazelcast-simulator	BuildInfoUtilsTest	testGetHazelcastVersionFromJarOrNull_whenInvalidPath_thenReturnNull	assertNull(getHazelcastVersionFromJarOrNull(file.getAbsolutePath()));	assertTrue(getHazelcastVersionFromJarOrNull(file.getAbsolutePath()) == null);	10.31626487	0
9	0	hazelcast/hazelcast-simulator	WorkerProcessFailureMonitorTest	testRun_shouldContinueAfterExceptionDuringDetection	assertTrueEventually(newAssertTask(){@Overridepublicvoidrun()throwsException{assertFailureType(failureHandler,WORKER_OOME);}});	assertNotNull(ensureExistingFile(workersHome, "file.txt"));	34.6215198	0
	1	hazelcast/hazelcast-simulator	WorkerProcessFailureMonitorTest	testRun_shouldContinueAfterExceptionDuringDetection	assertTrueEventually(newAssertTask(){@Overridepublicvoidrun()throwsException{assertFailureType(failureHandler,WORKER_OOME);}});	assertTrue(ensureExistingFile(workersHome, "test.txt").exists());	25.14800406	0
	2	hazelcast/hazelcast-simulator	WorkerProcessFailureMonitorTest	testRun_shouldContinueAfterExceptionDuringDetection	assertTrueEventually(newAssertTask(){@Overridepublicvoidrun()throwsException{assertFailureType(failureHandler,WORKER_OOME);}});	assertThrows(IllegalArgumentException.class, () -> ensureExistingFile(new File("non_existing_directory"),"non_existing_file"));	27.24131775	0
	3	hazelcast/hazelcast-simulator	WorkerProcessFailureMonitorTest	testRun_shouldContinueAfterExceptionDuringDetection	assertTrueEventually(newAssertTask(){@Overridepublicvoidrun()throwsException{assertFailureType(failureHandler,WORKER_OOME);}});	assertNotEquals(ensureExistingFile(workersHome, "/file.txt").length(), 0);	37.59903908	0
	4	hazelcast/hazelcast-simulator	WorkerProcessFailureMonitorTest	testRun_shouldContinueAfterExceptionDuringDetection	assertTrueEventually(newAssertTask(){@Overridepublicvoidrun()throwsException{assertFailureType(failureHandler,WORKER_OOME);}});	assertEquals(ensureExistingFile(workersHome, "subAA903123fromIE5Top43.ember_text.theme3.css.uiState.at.ajax_settings.ad_refresh.minimumAllowUIDle.c.resubI2p_Config_home_share_finantstand35.content.impl.tagParamsBase.tokensUrlsVm.views.locale.offset.weightFilter.Mur7+rsNA6LPBX5F2hli{abcadsfqni952.ninja.setBind.add(65991273-S13)});	179.1074758	0
	5	hazelcast/hazelcast-simulator	WorkerProcessFailureMonitorTest	testRun_shouldContinueAfterExceptionDuringDetection	assertTrueEventually(newAssertTask(){@Overridepublicvoidrun()throwsException{assertFailureType(failureHandler,WORKER_OOME);}});	assertNotEquals(ensureExistingFile(new FileWrapper(parent-key, file_type), parent-baseurl, callQueries ).lastmodified, expected valus,dela , string-file-xd) );	302.114953	0
	6	hazelcast/hazelcast-simulator	WorkerProcessFailureMonitorTest	testRun_shouldContinueAfterExceptionDuringDetection	assertTrueEventually(newAssertTask(){@Overridepublicvoidrun()throwsException{assertFailureType(failureHandler,WORKER_OOME);}});	assertNotNul(ensureExistingFile(workersHome, "file.txt"));	55.43220878	0
	7	hazelcast/hazelcast-simulator	WorkerProcessFailureMonitorTest	testRun_shouldContinueAfterExceptionDuringDetection	assertTrueEventually(newAssertTask(){@Overridepublicvoidrun()throwsException{assertFailureType(failureHandler,WORKER_OOME);}});	assertTrue(ensureExistingFile(workersHome, "file.txt").exists());	39.08753467	0
	8	hazelcast/hazelcast-simulator	WorkerProcessFailureMonitorTest	testRun_shouldContinueAfterExceptionDuringDetection	assertTrueEventually(newAssertTask(){@Overridepublicvoidrun()throwsException{assertFailureType(failureHandler,WORKER_OOME);}});	assertEquals(expectedFile.getAbsolutePath(), StringUtils.getsystemIndependentPath(actualDirectory.getAbsolutePath(),"ExampleFile.txt"));	44.04724789	0
	9	hazelcast/hazelcast-simulator	WorkerProcessFailureMonitorTest	testRun_shouldContinueAfterExceptionDuringDetection	assertTrueEventually(newAssertTask(){@Overridepublicvoidrun()throwsException{assertFailureType(failureHandler,WORKER_OOME);}});	assertNotNull(ensureExistingFile(new File(parent, "fileName")));	19.36164713	0
10	0	hazelcast/hazelcast-simulator	WizardUtilsTest	testGetFileFromUrl_fromJarFile	assertNotNull(file);	assertNotNull(file);	20.56890798	1
	1	hazelcast/hazelcast-simulator	WizardUtilsTest	testGetFileFromUrl_fromJarFile	assertNotNull(file);	assertTrue(file.exists());	20.01172614	0
	2	hazelcast/hazelcast-simulator	WizardUtilsTest	testGetFileFromUrl_fromJarFile	assertNotNull(file);	assertTrue(file.isDirectory());	35.24807715	0
	4	hazelcast/hazelcast-simulator	WizardUtilsTest	testGetFileFromUrl_fromJarFile	assertNotNull(file);	assertTrue(file.exists());	15.11550879	0
	7	hazelcast/hazelcast-simulator	WizardUtilsTest	testGetFileFromUrl_fromJarFile	assertNotNull(file);	assertNotNull(actual );	57.09283972	0
	9	hazelcast/hazelcast-simulator	WizardUtilsTest	testGetFileFromUrl_fromJarFile	assertNotNull(file);	assertTrue(file.isFile());	23.40767407	0
	10	hazelcast/hazelcast-simulator	WizardUtilsTest	testGetFileFromUrl_fromJarFile	assertNotNull(file);	assertNotNull(file.getAbsolutePath());	21.766469	0
	12	hazelcast/hazelcast-simulator	WizardUtilsTest	testGetFileFromUrl_fromJarFile	assertNotNull(file);	assertTrue(file.canRead());	85.94610715	0
	13	hazelcast/hazelcast-simulator	WizardUtilsTest	testGetFileFromUrl_fromJarFile	assertNotNull(file);	assertNotNull(result);	54.66113377	0
	17	hazelcast/hazelcast-simulator	WizardUtilsTest	testGetFileFromUrl_fromJarFile	assertNotNull(file);	assertNotNull(file);	33.22982788	0
11	0	hazelcast/hazelcast-simulator	UuidUtilTest	testNewUnsecureUUID	assertNotNull(uuid);	assertNotNull(uuid);	12.81252909	1
	1	hazelcast/hazelcast-simulator	UuidUtilTest	testNewUnsecureUUID	assertNotNull(uuid);	assertUnsecureUUID(org.junit.Assert o, UUID uuid) {);	36.85287905	0
	2	hazelcast/hazelcast-simulator	UuidUtilTest	testNewUnsecureUUID	assertNotNull(uuid);	assertNotEquals(new UUID(0L, 0L), uuid);	21.38726401	0
	3	hazelcast/hazelcast-simulator	UuidUtilTest	testNewUnsecureUUID	assertNotNull(uuid);	assertTrue(uuid.version() == 4 && (uuid.variant() & 0x6000) == 0x4000);	26.08953929	0
	4	hazelcast/hazelcast-simulator	UuidUtilTest	testNewUnsecureUUID	assertNotNull(uuid);	assertTrue(uuid.getLeastSignificantBits() != 0 && uuid.getMostSignificantBits() != 0);	25.43665004	0
	7	hazelcast/hazelcast-simulator	UuidUtilTest	testNewUnsecureUUID	assertNotNull(uuid);	assertEquals(4, uuid.version());	32.32658505	0
	9	hazelcast/hazelcast-simulator	UuidUtilTest	testNewUnsecureUUID	assertNotNull(uuid);	assertNotNull(uuid);	19.72113514	0
	10	hazelcast/hazelcast-simulator	UuidUtilTest	testNewUnsecureUUID	assertNotNull(uuid);	assertNotEquals(uuid, newUnsecureUUID());	18.51380801	0
	11	hazelcast/hazelcast-simulator	UuidUtilTest	testNewUnsecureUUID	assertNotNull(uuid);	assertTrue(uuid.getMostSignificantBits() != 0);	19.05427003	0
	13	hazelcast/hazelcast-simulator	UuidUtilTest	testNewUnsecureUUID	assertNotNull(uuid);	assertTrue(uuid.getLeastSignificantBits() > 0 && uuid.getMostSignificantBits() > 0);	36.89640069	0
12	0	dbmdz/iiif-apis	SpecExamplesSerializationTest	testImageResource	assertSerializationEqualsSpec(anno,"STR");	assertNotNull(<AssertExpectedValue>);	32.49780726	0
	1	dbmdz/iiif-apis	SpecExamplesSerializationTest	testImageResource	assertSerializationEqualsSpec(anno,"STR");	assertEquals(<AssertExpectedValue>, <AssertActualValue>);	25.30042982	0
	2	dbmdz/iiif-apis	SpecExamplesSerializationTest	testImageResource	assertSerializationEqualsSpec(anno,"STR");	assertThat(img.getServices().size(), equalTo(expectedValue));	48.18031311	0
	3	dbmdz/iiif-apis	SpecExamplesSerializationTest	testImageResource	assertSerializationEqualsSpec(anno,"STR");	assertTrue(img.getServices().stream().anyMatch(s -> expectedValue));	34.82602191	0
	4	dbmdz/iiif-apis	SpecExamplesSerializationTest	testImageResource	assertSerializationEqualsSpec(anno,"STR");	assertTrue(img.getWidth() == expectedWidth );	27.5169189	0
	5	dbmdz/iiif-apis	SpecExamplesSerializationTest	testImageResource	assertSerializationEqualsSpec(anno,"STR");	assertFalse(img.getServices().isEmpty());	20.85592198	0
	6	dbmdz/iiif-apis	SpecExamplesSerializationTest	testImageResource	assertSerializationEqualsSpec(anno,"STR");	assertSame(img.getElementsByType(Service.TYPE).get(0).getProfile().get(0), "<expected service profile>");	38.13578606	0
	7	dbmdz/iiif-apis	SpecExamplesSerializationTest	testImageResource	assertSerializationEqualsSpec(anno,"STR");	assertThrows(AssertionError.class, () -> focal.setResource(img));	70.01084805	0
	8	dbmdz/iiif-apis	SpecExamplesSerializationTest	testImageResource	assertSerializationEqualsSpec(anno,"STR");	assertEquals(2000, img.getHeight()`<br>);	48.57421589	0
	9	dbmdz/iiif-apis	SpecExamplesSerializationTest	testImageResource	assertSerializationEqualsSpec(anno,"STR");	assertEquals(1500, img.getWidth());	27.24587607	0
13	0	dbmdz/iiif-apis	SpecExamplesSerializationTest	testGenericService	assertSerializationEqualsSpec(service,"STR");	assertEquals("Test Label", property.getLabel().getValue());	18.71163201	0
	1	dbmdz/iiif-apis	SpecExamplesSerializationTest	testGenericService	assertSerializationEqualsSpec(service,"STR");	assertTrue():);	19.97866702	0
	2	dbmdz/iiif-apis	SpecExamplesSerializationTest	testGenericService	assertSerializationEqualsSpec(service,"STR");	assertNotNull(property.getLabel());	22.66235089	0
	4	dbmdz/iiif-apis	SpecExamplesSerializationTest	testGenericService	assertSerializationEqualsSpec(service,"STR");	assertFalse(condition);	16.72448325	0
	5	dbmdz/iiif-apis	SpecExamplesSerializationTest	testGenericService	assertSerializationEqualsSpec(service,"STR");	assertThrows(Exception.class, () -> someMethodThatShouldThrowException());	16.50341392	0
	6	dbmdz/iiif-apis	SpecExamplesSerializationTest	testGenericService	assertSerializationEqualsSpec(service,"STR");	assertNotEquals(expectedValue, actualValue);	16.06107783	0
	7	dbmdz/iiif-apis	SpecExamplesSerializationTest	testGenericService	assertSerializationEqualsSpec(service,"STR");	assertArrayEquals(expectedArray, actualArray);	16.08450603	0
	8	dbmdz/iiif-apis	SpecExamplesSerializationTest	testGenericService	assertSerializationEqualsSpec(service,"STR");	assertThat(value, Matchers.is(expectedValue)));	16.18089986	0
	9	dbmdz/iiif-apis	SpecExamplesSerializationTest	testGenericService	assertSerializationEqualsSpec(service,"STR");	assertNull(property.getValue());	16.30401707	0
	10	dbmdz/iiif-apis	SpecExamplesSerializationTest	testGenericService	assertSerializationEqualsSpec(service,"STR");	assertNotSame(expectedObject, actualObject);	16.70469308	0
14	0	dbmdz/iiif-apis	SpecExamplesDeserializationTest	testLoginWithLogout	assertThat(authService.getServices()).hasSize(2);	assertNotNull(authService);	36.95809102	0
	1	dbmdz/iiif-apis	SpecExamplesDeserializationTest	testLoginWithLogout	assertThat(authService.getServices()).hasSize(2);	assertThat(formHtmlHtml(medicLastName+siddieURLAdpnx,pexID_Newsframe401nmWO.mtFinxtWE(Pew_SP_HDC88YJULORAK),olividEventPtrReq,yuIndex>=257*D_METHOD,typeRestTimestampCall,None)),);	140.3771069	0
	2	dbmdz/iiif-apis	SpecExamplesDeserializationTest	testLoginWithLogout	assertThat(authService.getServices()).hasSize(2);	assertTrue(authService instanceof AccessCookieService);	22.17420173	0
	3	dbmdz/iiif-apis	SpecExamplesDeserializationTest	testLoginWithLogout	assertThat(authService.getServices()).hasSize(2);	assertEquals(services.size(), 3);	23.27724481	0
	4	dbmdz/iiif-apis	SpecExamplesDeserializationTest	testLoginWithLogout	assertThat(authService.getServices()).hasSize(2);	assertNotEquals(authService.getCookie().length(), 0);	30.84623599	0
	5	dbmdz/iiif-apis	SpecExamplesDeserializationTest	testLoginWithLogout	assertThat(authService.getServices()).hasSize(2);	assertArrayEquals(expectedOutput, actualOutput);	24.875489	0
	6	dbmdz/iiif-apis	SpecExamplesDeserializationTest	testLoginWithLogout	assertThat(authService.getServices()).hasSize(2);	assertFalse(servicesHistory.isEmpty());	34.59987092	0
	7	dbmdz/iiif-apis	SpecExamplesDeserializationTest	testLoginWithLogout	assertThat(authService.getServices()).hasSize(2);	assertNotNull()` in this case. So, the correct org.junit.Assert statement would be:);	27.03506994	0
	8	dbmdz/iiif-apis	SpecExamplesDeserializationTest	testLoginWithLogout	assertThat(authService.getServices()).hasSize(2);	assertNull(authService.getCookie());	19.74263191	0
	9	dbmdz/iiif-apis	SpecExamplesDeserializationTest	testLoginWithLogout	assertThat(authService.getServices()).hasSize(2);	assertNotEquals(dummyServices, new ClassName().getServices());	39.46899509	0
15	0	sharneng/gm4java	GMOperationTest	rotate_Annotation_HeightLargerThanWidth	assertThat(sut.getCmdArgs(),hasItem("STR"));	assertNotNull(sut);	5.361021042	0
	1	sharneng/gm4java	GMOperationTest	rotate_Annotation_HeightLargerThanWidth	assertThat(sut.getCmdArgs(),hasItem("STR"));	assertEquals(expectedValue, actualValue```);	18.44177914	0
	2	sharneng/gm4java	GMOperationTest	rotate_Annotation_HeightLargerThanWidth	assertThat(sut.getCmdArgs(),hasItem("STR"));	assertTrue(annotation.asAnnotation().equals(" -rotate +90.0"));	13.66284895	0
	3	sharneng/gm4java	GMOperationTest	rotate_Annotation_HeightLargerThanWidth	assertThat(sut.getCmdArgs(),hasItem("STR"));	assertNotEquals(expectedValue, actualValue);	9.78221488	0
	4	sharneng/gm4java	GMOperationTest	rotate_Annotation_HeightLargerThanWidth	assertThat(sut.getCmdArgs(),hasItem("STR"));	assertThrows(IllegalArgumentException.class, () -> {);	6.544167995	0
	5	sharneng/gm4java	GMOperationTest	rotate_Annotation_HeightLargerThanWidth	assertThat(sut.getCmdArgs(),hasItem("STR"));	assertEquals();	19.21999812	0
	7	sharneng/gm4java	GMOperationTest	rotate_Annotation_HeightLargerThanWidth	assertThat(sut.getCmdArgs(),hasItem("STR"));	assertFalse(condition);	11.05352116	0
	8	sharneng/gm4java	GMOperationTest	rotate_Annotation_HeightLargerThanWidth	assertThat(sut.getCmdArgs(),hasItem("STR"));	assertEquals(expected, actual);	19.50380206	0
	9	sharneng/gm4java	GMOperationTest	rotate_Annotation_HeightLargerThanWidth	assertThat(sut.getCmdArgs(),hasItem("STR"));	assertThrows(IllegalArgumentException.class, () -> {);	6.832221031	0
16	0	orientechnologies/orientdb	TrackedSetTest	testReturnOriginalState	Assert.assertEquals(original,trackedSet.returnOriginalState(firedEvents));	assertEquals(original, trackedSet.returnOriginalState(firedEvents));	38.03651285	1
