TestID	VariantID	Project	TestClass	TestName	TrueOracle	GenOracle	Time	Corr	BuildErr
/	6	//	OMatchStatementExecutionNewTest	testMaxDepthArrow	assertEquals(2,size(qResult));	"assertEquals(1,qResult.stream().filter(result->result.getProperty(""STR"").equals(""STR"")).count());"	92.40217709541321	0	0
/	7	//	OMatchStatementExecutionNewTest	testMaxDepthArrow	assertEquals(2,size(qResult));	???;	38.40468096733093	0	0
/	8	//	OMatchStatementExecutionNewTest	testMaxDepthArrow	assertEquals(2,size(qResult));	"assertTrue(qResult.getExecutionPlan().getSummaries()[0].getProperty(""STR"",Long.class)>0);"	464.43891406059265	0	0
/	11	//	OMatchStatementExecutionNewTest	testMaxDepthArrow	assertEquals(2,size(qResult));	assertNotSame(expectedSet,actualSet);	675.2608549594879	0	0
/	12	//	OMatchStatementExecutionNewTest	testMaxDepthArrow	assertEquals(2,size(qResult));	"assertTrue(columnNames.hasNext()&&columnNames.next().equals(""STR""));"	672.3323452472687	0	0
/	13	//	OMatchStatementExecutionNewTest	testMaxDepthArrow	assertEquals(2,size(qResult));	assertEquals(expectedValue,actualValue);	502.1144802570343	0	0
/	15	//	OMatchStatementExecutionNewTest	testMaxDepthArrow	assertEquals(2,size(qResult));	assertTrue(qResult.hasResult());	672.0964739322662	0	0
/	18	//	OMatchStatementExecutionNewTest	testMaxDepthArrow	assertEquals(2,size(qResult));	assertNotSame(expectedSet,actualSet);	666.9200439453125	0	0
/	20	//	OMatchStatementExecutionNewTest	testMaxDepthArrow	assertEquals(2,size(qResult));	assertNotEquals(5,calculateSum(2,3));	239.41044926643372	0	0
/	21	//	OMatchStatementExecutionNewTest	testMaxDepthArrow	assertEquals(2,size(qResult));	assertTrue(databaseObject.get().resultList.stream().anyMatch(e->einstanceofOElement&&((OElement)e).field.equalsIgnoreCase(expectedValue)))`;	685.0177810192108	0	0
/	24	//	OMatchStatementExecutionNewTest	testMaxDepthArrow	assertEquals(2,size(qResult));	assertNotSame(expected.toString(),actual.toString());	456.79293489456177	0	0
/	25	//	OMatchStatementExecutionNewTest	testMaxDepthArrow	assertEquals(2,size(qResult));	assertEquals(expectedValue,actualValue,delta);	230.43814611434937	0	0
/	26	//	OMatchStatementExecutionNewTest	testMaxDepthArrow	assertEquals(2,size(qResult));	assertTrue(qResult.getResultType().isSubclassOf(OResult.class));	657.8613529205322	0	0
/	27	//	OMatchStatementExecutionNewTest	testMaxDepthArrow	assertEquals(2,size(qResult));	assertEquals(expected,actual);	236.5190830230713	0	0
/	28	//	OMatchStatementExecutionNewTest	testMaxDepthArrow	assertEquals(2,size(qResult));	assertNull(ODocument);	768.2992730140686	0	0
9	1	//	OLiveCommandResultListenerTest	testNetworkError	assertTrue(OLiveQueryHook.getOpsReference(db).getQueueThread().hasToken(10));	assertTrue(listener.hasToken(10));	709.9420778751373	0	0
