ClassName#TestName	TrueOracle
SimulatorAddressTest#testGetAddressLevel	org.junit.Assert.assertEquals(COORDINATOR,coordinatorAddress().getAddressLevel());
SiteMapParserBoltTest#testSitemapParsingNoMT	org.junit.Assert.assertEquals(6,output.getEmitted(Constants.StatusStreamName).size());
StackOverflowTest#testNamespaceExtraction	org.junit.Assert.assertEquals(1,output.getEmitted().size());
StatementTest#testStatement	org.junit.Assert.assertNotNull(actual);
StatementTest#testToString	org.junit.Assert.assertNotNull(actual);
StyleTest#simple	org.junit.Assert.assertEquals(attrs(attr("STR","STR")),attrs(Style.BOLD));
SvgElementFinderTest#linkedNodeNamesOf	org.junit.Assert.assertEquals(asList("STR","STR"),SvgElementFinder.linkedNodeNamesOf(finder.findLinks().get(0)));
SvgSizeAnalyzerTest#getValues	org.junit.Assert.assertEquals(1000,a.getWidth());
TSqlBuilderTest#testDelete	org.junit.Assert.assertEquals("STR",sql.delete().from("STR").toString());
TSqlBuilderTest#testUpdate	org.junit.Assert.assertEquals("STR",sql.update("STR").set("STR").toString());
TestContainer_BasicTest#testAnnotationInheritance_withSetupInBaseClass_withRunInChildClass	org.junit.Assert.assertTrue(test.childRunCalled);
WizardUtilsTest#testGetProfileFile_withZshrc	org.junit.Assert.assertEquals(expectedFile.getPath(),actualFile.getPath());
WorkerQueryTest#targetType_whenPreferClients	org.junit.Assert.assertEquals(asList(list.get(0),list.get(2)),result);
WorkerQueryTest#versionSpec	org.junit.Assert.assertEquals(asList(list.get(1),list.get(3)),result);
